OBJECTID,Precinct,VoteByMail,BallotGroup,SerialNumber,VBMVoters,PollVoters,Shape__Area,Shape__Length
36545,9000016A,0,771,1090,1782,639,39521823.4228516,24992.0080517419
36546,9007803A,0,771,1805,1738,733,13612895.1669922,15431.0531226745
36547,9006267A,0,771,1751,2492,903,22073257.0048828,26195.1959989199
36548,9002979A,0,771,1651,2503,880,23308643.6445313,19955.1984051898
36549,9000612A,0,771,1250,2157,859,24558293.4482422,27941.2420901349
36550,9002945A,0,771,1646,1297,507,13893043.8144531,16375.2755343397
36551,9007825A,0,771,1807,1969,797,27879482.5771484,21125.0321073629
36552,9000176A,0,771,1134,2539,766,29727194.9394531,21574.474091611
36553,9006298A,1,771,7845,1,0,704845.073242188,3611.47333345141
36554,9000365A,0,771,1188,1983,755,14318549.734375,16187.0145421332
36555,9002776B,1,771,7733,0,0,2900397.27148438,7559.50694937869
36556,9006256A,0,771,1750,2245,867,24368236.2412109,25669.2541146924
36557,9004123A,0,771,1689,2462,942,32498259.5576172,30247.3773721828
36558,9003055A,0,771,1662,2103,728,57141381.4453125,36185.3796471003
36559,9000121A,0,771,1121,2034,879,18201954.4980469,18008.6672673866
36560,9000025A,1,771,7569,1424,489,23839352.8369141,22870.2706208728
36561,9000030A,0,771,1094,2136,850,24430365.1074219,23783.4765598704
36562,9007853A,0,771,1809,1908,724,16291145.2333984,18558.1406148253
36563,9003624A,0,771,1677,1563,659,23795003.1064453,21297.9453010592
36564,2100044A,1,132,6489,100,45,2681881.00195313,7482.39010780616
36565,5000033A,0,350,701,2545,885,53958693.1210938,35258.0559795856
36566,5000009A,1,350,6999,1111,358,14130879.9013672,16059.4914881281
36567,5000121A,0,350,716,2205,713,28252646.1796875,26476.6606934625
36568,1250069A,1,42,6257,0,0,169752771.458984,53074.5483934286
36569,2300013A,0,809,308,1473,933,8808893.08105469,13650.975998051
36570,2300030A,0,809,311,998,643,5389246.99414063,13724.8614346191
36571,2300004A,0,809,305,1639,943,9875132.72070313,16722.5666632923
36572,2300010B,0,809,307,1477,937,7928107.53515625,15634.0484706234
36573,2300025A,0,809,310,1445,864,7622325.171875,13929.940333403
36574,2300019A,0,809,309,753,505,4653397.703125,10136.8787475641
36575,2300042A,0,809,313,1489,894,10825458.9853516,16464.124280267
36576,2300047A,0,809,314,1578,898,9410310.41308594,13563.3818107942
36577,2300002A,0,809,304,1394,849,8477722.04199219,12173.2593661106
36578,7650002A,1,809,7483,252,138,3032779.6796875,7642.62349118852
36579,2300008A,0,809,306,1389,887,8128313.18066406,11863.3572968506
36580,2300040A,0,809,312,1497,943,10439631.1171875,13533.7526778971
36581,2300034A,1,809,6506,356,286,2358297.35742188,6259.48026354514
36582,5600001A,1,180,7188,0,0,2948658.88964844,8966.26939777268
36583,4100024A,1,250,6894,0,0,45557.91796875,5215.61158693221
36584,7100002A,0,216,969,2205,742,189816461.075195,79124.5565337764
36585,7100004A,0,216,970,1430,547,214343772.981445,78580.9693359691
36586,7470001A,1,216,7479,228,51,25123875.0263672,29558.6976488798
36587,7700140A,1,55,7515,0,0,240016.444335938,2190.2947835122
36588,6300003B,1,437,7336,49,19,12001082.2158203,17350.7928046084
